Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Internet-delivered treatment for young adults with anxiety and depression: Evaluation in routine clinical care and comparison with research trial outcomes.","Staples, Lauren G.; Dear, Blake F.; Johnson, Bareena; Fogliati, Vincent; Gandy, Milena; Fogliati, Rhiannon; Nielssen, Olav; Titov, Nickolai","Journal of Affective Disorders",="01650327",,="20190901","256",,"103","7","2019-56914-014","10.1016/j.jad.2019.05.058","Elsevier Science","Journal Article","Anxiety Disorders; Cognitive Behavior Therapy; Major Depression; Online Therapy; Treatment Effectiveness Evaluation; Treatment Outcomes; Emerging Adulthood; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Introduction: Mood and anxiety disorders typically emerge in adolescence and early adult life, but young adults are often reluctant to seek treatment. The Mood Mechanic course is a transdiagnostic internet-delivered psychological intervention for symptoms of depression and anxiety, targeted at people aged 18–24 years. The current study compared the efficacy of the course when delivered under strict research trial conditions (research trial; n = 192) with its effectiveness in a routine health-care setting (routine care; n = 222). Methods: Symptoms of depression, anxiety and general distress at baseline, during, and after treatment were measured by the Patient Health Questionnaire (PHQ-9), Generalized Anxiety Disorder Scale (GAD-7), and Kessler 10-Item Scale (K-10), respectively. Results: Both groups showed significant symptom reductions on all measures at post-treatment and 3-month follow-up. Deterioration rates were low, within-group effect sizes were large (> 1.0) and both groups reported high levels of treatment satisfaction. Patients in routine care were less likely to complete post-treatment or follow-up symptom questionnaires. Limitations: The study is based on self-reported data from treatment-seeking individuals that were motivated enough to start the course, and the absence of a control group and a formal diagnosis in the routine care sample means that some caution is needed in generalising the results. Conclusion: The results show that the Mood Mechanic course is effective and acceptable in routine clinical care, and that online psychological interventions designed for young adults are an effective treatment option for this hard-to-reach group. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-56914-014&site=ehost-live"
"Involvement in compensation litigation and outcome from an online pain management program.","Nielssen, Olav; Staples, Lauren; Titov, Nickolai; Gandy, Milena; Fogliati, Rhiannon; Dear, Blake","Rehabilitation Psychology",="00905550",,="20190801","64","3","263","6","2019-10570-001","10.1037/rep0000262","American Psychological Association","Journal Article","Drug Therapy; Litigation; Major Depression; Opiates; Pain Management; Clinicians; Test Validity; Adulthood (18 yrs & older); Male; Female",,"Objective: To report on the effect of involvement in civil litigation on outcome for patients enrolled in a validated Internet-delivered pain management program, the Pain Course. Research Method: Data from a randomized controlled trial (RCT) on the effect of varying levels of clinician support was used to examine the effect of involvement in civil litigation on outcome in a free online pain management course. Outcome measures were changes in scores on self-report questionnaires for depression, anxiety, and disability (PHQ-9, GAD-7, and RMDQ) from baseline to 3-month follow-up for those still involved in litigation and those who had completed litigation, compared with outcomes for those who did not report involvement in litigation. The use of regular and as-required opioid medication at assessment and follow-up were also compared. Results: Of the 397 patients enrolled in the pain course, 290 (73.0%) were not involved in litigation, 80 (20.2%) reported involvement in litigation that had been resolved and 27 (6.8%) reported ongoing litigation. Those still involved in litigation had the highest scores on depression scales and the highest rate of opioid use. The completion rates and symptom improvement was lower among current litigants but were still positive, with effect sizes on the outcome measures of between 0.56 and 0.73, as well as a reduction in the use of opioids. Conclusions: Current involvement in compensation litigation was associated with lower treatment completion and less symptom improvement. Nevertheless, the positive findings have significant implications for people involved in workers’ compensation and other litigation who report pain as one of their symptoms. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-10570-001&site=ehost-live"
"Latent profiles of early trauma & Type D personality: Sex differences in cardiovascular risk markers.","van Montfort, Eveline; Mommersteeg, Paula; Spek, Viola; Kupper, Nina","Comprehensive Psychiatry",="0010440X",,="20180501","83",,"38","8","2019-05122-008","10.1016/j.comppsych.2018.02.009","Elsevier Science","Journal Article","Cardiovascular Disorders; Early Experience; Human Sex Differences; Personality Disorders; Trauma; Risk Factors; Childhood Adversity; Adulthood (18 yrs & older); Male; Female",,"Background: Both adverse early life-events and distressed personality are associated with an increased cardiovascular risk. As there is an important link between these psychological factors, we investigated how these might cluster in sex-specific psychological profiles. We further examined the association of these profiles with cardiovascular risk markers. Method: 446 women (mean age = 49.8 ± 17.9 years) and 431 men (mean age = 49.4 ± 17.5 years) from the Dutch general population completed questionnaires on demographics, adverse early life-events (ETI), Type D personality (DS14), anxiety (GAD-7) and depressive (PHQ-9) symptoms, and traditional cardiovascular risk markers. Results: A step-3 latent profile analysis identified three profiles in women (Reference, Type D & trauma, and Type D/no trauma) and four in men (Reference, Type D & trauma, Type D/no trauma, and Physical abuse). In women, the Type D/no trauma was associated with highest levels of emotional symptoms (OR = 2.47; 95% CI: 2.11–2.89), lipid abnormalities (OR = 3.69; 95% CI: 1.47–9.27), and increased levels of alcohol use (OR = 3.63; 95% CI: 1.42–9.30). The Type D & trauma profile was associated with increased levels of emotional symptoms (OR = 2.03; 95% CI: 1.70–2.42), highest levels of smoking (OR = 3.30; 95% CI: 1.21–8.97) and alcohol use (OR = 7.63; 95% CI: 2.86–20.33). Women in both profiles were older as compared to the Reference group (OR = 1.03; 95% CI: 1.01–1.05). In men, the Type D & trauma profile was associated with increased levels of emotional symptoms (OR = 1.11; 95% CI: 1.03–1.20). There were no significant differences between the profiles in lifestyle factors and cardiometabolic factors. Conclusions: In women, the Type D/no trauma profile and the Type D & trauma profile were associated with a specific combination of cardiovascular risk markers. In men, the Type D & trauma profile was associated with an increased level of emotional symptoms. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-05122-008&site=ehost-live"
"Loneliness and its correlates amongst elderly attending non-communicable disease rural clinic attached to a tertiary care centre of North India.","Grover, Sandeep; Verma, Madhur; Singh, Tarundeep; Dahiya, Neha; Nehra, Ritu","Asian Journal of Psychiatry",="18762018",,="20190601","43",,"189","8","2019-53369-044","10.1016/j.ajp.2019.06.001","Elsevier Science","Journal Article","Aging; Anxiety; Depression (Emotion); Geriatric Patients; Loneliness; Adulthood (18 yrs & older); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background: Psychological and sociological factors like loneliness have a noteworthy influence on the aging. Very less is known about loneliness amongst the elderly populations living with various Non-communicable diseases. Aim: The present study aimed to evaluate the prevalence and correlates of loneliness among elderly patients with Non-communicable diseases. Methodology: 296 patients attending the chronic disease clinic of two Community Health Centres were evaluated on University of California, Los Angeles Loneliness Scale (UCLA LS), Geriatric Depression Scale, Generalized Anxiety Disorder (GAD-7 scale) and Vulnerability to Abuse Screening Scale. Results: More than half (55.4%) of the participants experienced loneliness as per the three item UCLA LS. When the total scores of UCLA scale were used to evaluate the severity of loneliness, half of the study participants had either moderate (N = 39; 13.2%), moderately high (N = 52; 17.6%) and high (N = 55; 18.6%) level of loneliness. Higher proportion of patients experiencing loneliness had anxiety and reported abuse. Significant predictors of loneliness included presence of diabetes mellitus or hypertension, generalized anxiety disorder and abuse. Conclusion: Older adults living with non-communicable diseases are at a higher risk for loneliness. Mutual help groups kind of models can be developed to help in 're-peopling' elderly. Primary health centres should help in improving the overall health and morale amongst the elderly by stamping down their apprehensions and anxieties. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-53369-044&site=ehost-live"
"Low sense of coherence is associated with anxiety among adults: Results based on data from all 47 prefectures of Japan.","Uchida, Hiroyuki; Tsujino, Daisuke; Muguruma, Takuro; Hino, Naoki; Sasaki, Keiji; Miyoshi, Masato; Koyama, Yuya; Hirao, Kazuki","Comprehensive Psychiatry",="0010440X",,="20181001","86",,"131","6","2019-05160-022","10.1016/j.comppsych.2018.08.006","Elsevier Science","Journal Article","Anxiety; Risk Factors; Sense of Coherence; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background: Anxiety disorder is a major societal, economic, and healthcare burden, so it is essential to identify underlying risk factors. Sense of coherence (SOC), defined as an individual's perceived ability to control events and cope with challenges, is strongly associated with healthcare outcomes. Methods: This study investigated the association between SOC and anxiety among adults in all 47 prefectures of Japan using a cross-sectional online panel survey. SOC was assessed using the University of Tokyo Health Sociology version of the SOC Scale and anxiety was assessed using the Generalized Anxiety Disorder-7 (GAD-7) scale. Results: Among 2100 participants (1051 males and 1049 females), 475 (22.6%) were identified with anxiety (scoring 8 points or higher on the GAD-7 scale). Before adjustment for potential confounders, there was a significant negative association between SOC and presence of anxiety. Even after adjustment, the presence of anxiety was significantly higher among the lower SOC subgroup than the higher SOC subgroup. Conclusions: These results indicate that approximately one-fifth of adults in Japan suffer from anxiety and that low SOC is a significant risk factor. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-05160-022&site=ehost-live"
"Measurement invariance of assessments of depression (PHQ-9) and anxiety (GAD-7) across sex, strata and linguistic backgrounds in a European-wide sample of patients after Traumatic Brain Injury.","Teymoori, Ali; Real, Ruben; Gorbunova, Anastasia; Haghish, E. F.; Andelic, Nada; Wilson, Lindsay; Asendorf, Thomas; Menon, David; von Steinbüchel, Nicole","Journal of Affective Disorders",="01650327",,="20200201","262",,"278","8","2019-70021-001","10.1016/j.jad.2019.10.035","Elsevier Science","Journal Article","Anxiety; Linguistics; Major Depression; Measurement Invariance; Human Sex Differences; Intensive Care; Patient History; Questionnaires; Test Reliability; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Background: The Patient Health Questionnaire-9 (PHQ-9) and the Generalized Anxiety Disorder (GAD-7) are two widely used instruments to screen patients for depression and anxiety. Comparable psychometric properties across different demographic and linguistic groups are necessary for multiple group comparison and international research on depression and anxiety. Objectives and Method: We examine measurement invariance for the PHQ-9 and GAD-7 by: (a) the sex of the participants, (b) recruitment stratum, and (c) linguistic background. This study is based on non-randomized observational data six months after Traumatic Brain Injury (TBI) that were collected in 18 countries. We used multiple methods to detect Differential Item Functioning (DIF) including Item Response Theory, logistic regression, and the Mantel-Haenszel method. Results: At the 6-month post-injury, 2137 (738 [34.5%] women) participants completed the PHQ-9 and GAD-7 questionnaires: 885 [41.4%] patients were primarily admitted to the Intensive Care Unit (ICU), 805 [37.7%] were admitted to hospital ward, and 447 [20.9%] were evaluated in the Emergency Room and discharged. Results supported the invariance of PHQ-9 and GAD-7 across sex, patient strata and linguistic background. For different strata three PHQ-9 items and one GAD-7 item and for different linguistic groups only two GAD-7 items were flagged as showing differences in two out of four DIF tests. However, the magnitude of the DIF effect was negligible. Limitation: Despite high number of participants from ICU, patients have mostly mild TBI. Conclusion: The findings demonstrate adequate psychometric properties for PHQ-9 and GAD-7, allowing direct multigroup comparison across sex, strata, and linguistic background. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-70021-001&site=ehost-live"
"Measuring repetitive thinking in Iran: Psychometric properties of Persian version of Perseverative Thinking Questionnaire.","Kami, Maryam; Moloodi, Reza; Mazidi, Mahdi; Ehring, Thomas; Mansoori, Amin Khaje; Nodooshan, Mojgan Bakhshi; Mazinani, Zahra; Molavi, Mohammad-Reza; Momeni, Fereshte","Personality and Individual Differences",="01918869",,="20191001","148",,"101","9","2019-35210-020","10.1016/j.paid.2019.05.012","Elsevier Science","Journal Article","Foreign Language Translation; Perseveration; Psychometrics; Thinking; Factor Structure; Questionnaires; Test Reliability; Test Validity; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Objective: The aim of the present study was to evaluate the factor structure as well as the validity and reliability of the Persian version of Perseverative Thinking Questionnaire (PTQ). Method: Data were collected in three samples. A student sample (N = 894) completed the Generalized Anxiety Disorder Scale (GAD-7), the Difficulties in Emotion Regulation Scale (DERS) and the PTQ. Participants from the general population (N = 252) filled out a battery of questionnaires including the Penn State Worry questionnaire (PSWQ), the Ruminative response scale (RRS), the Depression, Anxiety, Stress Scale-21 (DASS-21) and the PTQ. Finally, psychotic inpatients (N = 193) filled in the PTQ, only. Results: Confirmatory factor analysis indicated that the second-order model with three lower-order factors model showed adequate fit with the data in all three samples. In addition, the PTQ had good internal consistency and test-retest reliability. As to validity, the PTQ scores showed positive correlation with the PSWQ, RRS, DERS, GAD-7 and DASS-21. In addition, the PTQ was found to discriminate the clinical sample from student and general population samples. Conclusions: The findings provided preliminary support for validity and reliability of the scores derived from Persian version of the PTQ. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-35210-020&site=ehost-live"
"Measuring resilience across Australia and Norway: Validation and psychometric properties of the English version of the resilience scale for adults.","Anyan, Frederick; Hjemdal, Odin; Bizumic, Boris; Friborg, Oddgeir","European Journal of Psychological Assessment",="10155759",,="20200101","36","2","280","9","2019-19685-001","10.1027/1015-5759/a000509","Hogrefe Publishing","Journal Article","Adult Attitudes; Personality; Psychometrics; Resilience (Psychological); Test Validity; Cross Cultural Psychology; Health Care Psychology; Protective Factors; Questionnaires; Statistical Measurement; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Resilience has become increasingly important in clinical and health psychology, but only few scales have received good psychometric ratings for assessing various outcomes of resilience. The Resilience Scale for Adults (RSA) is one of the best psychometrically rated scales and has been validated among Norwegian samples. The purpose of this study was to explore the construct validity of the RSA in an English-speaking Australian sample and test measurement invariance between the Australian sample and a Norwegian sample. An Australian sample (N = 781) completed the RSA, Sense of Coherence Scale (SOC-13), Patient Health Questionnaire (PHQ-9), and Generalized Anxiety Disorder Questionnaire (GAD-7). A second sample of Norwegians (N = 320) was included in the analyses of invariance of the RSA across cultures. There were expected negative correlations between RSA and PHQ-9, and between RSA and GAD-7, but positive correlations between RSA and SOC-13. The results indicated that the six-factor measurement model of the RSA is the same in the Australian and Norwegian samples, and respondents from the two cultures understood and interpreted the items in a comparable fashion. Support was found for the cross-cultural validity of the RSA in an English-speaking Australian sample and as a valid and reliable self-report measure of protective factors. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-19685-001&site=ehost-live"
"Mental health and quality of life among asylum seekers and refugees living in refugee housing facilities in Sweden.","Leiler, Anna; Bjärtå, Anna; Ekdahl, Johanna; Wasteson, Elisabet","Social Psychiatry and Psychiatric Epidemiology: The International Journal for Research in Social and Genetic Epidemiology and Mental Health Services",="09337954",,="20190501","54","5","543","9","2018-66378-001","10.1007/s00127-018-1651-6","Springer","Journal Article","Housing; Quality of Life; Refugees; Asylum Seeking; Major Depression; Mental Health; Questionnaires; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Introduction: In 2015, there was a high influx of refugees to Sweden, creating an extreme situation where individuals were forced to remain in large housing facilities for long periods. The present study aims to describe the mental health and quality of life of these individuals. Methods: Data, based on 510 individuals, were obtained by means of a questionnaire at open screenings conducted at or nearby refugee housing facilities. Of the participating refugees, 367 were asylum seekers and 143 had received a residence permit but were still awaiting a more permanent housing solution. The questionnaire included measures of depressive symptoms (PHQ-9), symptoms of anxiety (GAD-7), risk of having post-traumatic stress disorder (PC-PTSD), and quality of life (WHOQOL-BREF). Results: Of the total sample, 56–58.4% reported clinically significant levels of symptoms of depression, anxiety and risk of having PTSD. Prevalence estimates were higher among asylum seekers than among those who had received their residence permit. Quality of life was generally rated below population norms and correlated negatively with mental health outcomes. Conclusions: Individuals residing in refugee housing facilities show high levels of psychological distress and rate their quality of life as low. Asylum seekers score higher than those having received a residence permit. These results are troublesome since the wait time for asylum decisions has lengthened considerably after 2015. The results of the present study calls for the urgency of societal actions to shorten the asylum process and improve conditions at the housing facilities. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-66378-001&site=ehost-live"
"Mental health effects caused by red imported fire ant attacks (Solenopsis invicta).","Wang, Lei; Lu, Yongyue; Li, Ripeng; Zeng, Ling; Du, Junling; Huang, Xiong; Xu, Yijuan","PLoS ONE",="19326203",,="20180625","13","6",,,"2018-31346-001","10.1371/journal.pone.0199424","Public Library of Science","Journal Article","Injuries; Mental Health; Psychological Reactance; Sleep; Ants; Adulthood (18 yrs & older); Male; Female",,"Susceptible individuals who have suffered painful stings caused by red imported fire ants, Solenopsis invicta, usually experience physical health effects such as fever, dizziness, generalized urticaria, or other systemic reactions such as anaphylactic shock. Whether S. invicta stings also have negative effects on mental health is not clear. In the present study, the psychological impact of S. invicta stings was evaluated using a questionnaire that included a previously published posttraumatic stress disorder (PTSD) checklist, the Patient Health Questionnaire 9-item (PHQ-9), the Generalized Anxiety Disorder 7-item (GAD-7) scale, the Beck Anxiety Inventory (BAI), and the Pittsburgh Sleep Quality Index, 5th scale (PSQI(5)). A total of 96 valid questionnaires were obtained; 37 participants were placed in the stung group, and 59 participants were placed in the unstung group. Our results showed that symptoms of anxiety, depression and sleep disturbances were not associated with S. invicta stings (for GAD-7 scale, Pearson Chi-Square test, χ² = 0.152, df = 1, P = 0.697; for the BAI, χ² = 2.252, df = 1, P = 0.133; for the PHQ-9, χ² = 0.098, df = 1, P = 0.754; for the PSQI(5), χ² = 0.536, df = 1, P = 0.453). In total, 2 of 83 individuals stung by S. invicta met the criteria (> 50) for PTSD. However, there was no significant difference on PTSD between those stung by S. invicta in the 30-day group and the over 30-day group (χ² = 0.318, df = 1, P = 0.573). Overall, our data do not show an effect of S. invicta stings on mental health as measured using a range of indicators. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-31346-001&site=ehost-live"
"Migraine comorbidity and cognitive performance in patients with focal epilepsy.","de Dhaem, Olivia A. J. Begasse; French, Jacqueline; Morrison, Chris; Meador, Kimford J.; Hesdorffer, Dale C.; Cristofaro, Sabrina; Minen, Mia T.","Epilepsy & Behavior",="15255050",,="20190801","97",,"29","5","2019-50023-005","10.1016/j.yebeh.2019.05.008","Elsevier Science","Journal Article","Cognitive Ability; Comorbidity; Epilepsy; Migraine Headache; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Background: Migraine and epilepsy are comorbid conditions. While it is well known that epilepsy can have an impact on cognitive abilities, there is conflicting evidence in the literature on the relationship between migraine and cognitive function. The aim of this study was to assess whether migraine comorbidity in patients with newly diagnosed focal epilepsy is associated with cognitive dysfunction. Methods: This is a post hoc analysis of data prospectively collected for the Human Epilepsy Project (HEP). There were 349 participants screened for migraine with the 13 questions used in the American Migraine Prevalence and Prevention (AMPP) study. Participants were also screened for depression using the Neurological Disorder Depression Inventory for Epilepsy (NDDI-E) and the Center for Epidemiologic Studies Depression Scale (CES-D) and for anxiety using the Generalized Anxiety Disorder-7 (GAD-7) scale. Cognitive performance was assessed with the Cogstate Brief Battery and Aldenkamp–Baker Neuropsychological Assessment Schedule (ABNAS). Results: About a fifth (21.2%) of patients with a new diagnosis of focal epilepsy screened positive for migraine. There were more women and less participants employed full time among the participants with comorbid migraine. They reported slightly more depressive and anxious symptoms than the participants without migraine. Migraine comorbidity was associated with ABNAS memory score (median: 2, range: 0–12, Mann Whitney U p-value: 0.015). However, migraine comorbidity was not associated with Cogstate scores nor ABNAS total scores or other ABNAS domain scores. In linear regressions, depression and anxiety scores were associated with the ABNAS memory score. Conclusion: In this study, there was no association between migraine comorbidity and objective cognitive scores in patients with newly diagnosed focal epilepsy. The relationship between migraine comorbidity and subjective memory deficits seemed to be mediated by the higher prevalence of depression and anxiety symptoms in patients with epilepsy with comorbid migraine. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-50023-005&site=ehost-live"
"Minocycline as adjunctive treatment for treatment-resistant depression: Study protocol for a double blind, placebo-controlled, randomized trial (MINDEP2).","Husain, Muhammad Ishrat; Cullen, Clare; Umer, Madeha; Carvalho, Andre F.; Kloiber, Stefan; Meyer, Jeffrey H.; Ortiz, Abigail; Knyahnytska, Yuliya; Husain, M. Omair; Giddens, Justine; Diniz, Breno S.; Wang, Wei; Young, Allan H.; Mulsant, Benoit H.; Daskalakis, Zafiris J.","BMC Psychiatry",="1471244X",,="20200415","20",,,,"2020-27178-001","10.1186/s12888-020-02553-9","BioMed Central Limited","Journal Article","Antidepressant Drugs; Drug Therapy; Major Depression; Treatment Resistant Depression; Adjunctive Treatment; Anti Inflammatory Drugs; Antibiotics; Clinical Trials; Diagnostic and Statistical Manual; Inflammation; Placebo; Adulthood (18 yrs & older); Male; Female",,"Background: Available evidence suggests that adjunctive treatment with immunomodulatory medications may be effective in the treatment of major depressive disorder (MDD). A pilot trial of the tetracycline minocycline as adjunctive treatment in treatment-resistant depression (TRD), produced promising results, however, a larger scale trial is needed to confirm the antidepressant actions of this drug. Methods: This is a 12-week double blind, placebo-controlled, randomized trial of minocycline as an add-on to standard antidepressants for adults (age > 18) with DSM-5 major depressive episode, who have failed to respond to at least two adequate trials of antidepressant treatment. It is a parallel-arm study with 50 participants in each group. The primary outcome measure is change in 17-item Hamilton Depression Rating Scale (HRSD-17) total scores from baseline to week 12. Secondary measures include the Clinical Global Impression (CGI) scale, World Health Organization Quality of Life Short Version (WHOQOL-BREF) and the Generalized Anxiety Disorder scale (GAD-7). Peripheral inflammatory biomarkers will be collected at baseline, week 6 and 12. Discussion: If minocycline is well tolerated and effective in reducing depressive symptoms in patients with TRD, it would warrant genuine consideration as a treatment option for TRD. Additionally, if results demonstrate that minocycline has antidepressant properties, and that changes in inflammatory status are associated with its antidepressant action, it will inform the development of individualized treatment for a subset of patients with MDD. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-27178-001&site=ehost-live"
"NEET status among young Greeks: Association with mental health and substance use.","Basta, Maria; Karakonstantis, Stamatis; Koutra, Katerina; Dafermos, Vassilis; Papargiris, Antonis; Drakaki, Maria; Tzagkarakis, Stelios; Vgontzas, Alexandros; Simos, Panagiotis; Papadakis, Nikos","Journal of Affective Disorders",="01650327",,="20190615","253",,"210","8","2019-36780-026","10.1016/j.jad.2019.04.095","Elsevier Science","Journal Article","Anxiety; Drug Usage; Major Depression; Risk Factors; Cannabis; Education; Employment Status; Mental Health; Symptoms; Tobacco Smoking; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Background: Prior studies have shown that young people 'not in education, employment or training' ('NEET') are at higher risk for psychopathology and substance abuse. Similar studies are lacking in Southern European populations. We aimed to examine the associations of anxiety and depressive symptoms, and substance use with NEET status in a large, randomized population-based sample in Greece. Methods: A telephone structured questionnaire was conducted in a representative sample of 2771 young Greeks aged 15–24 years. Anxiety and depressive symptoms were assessed with GAD-7 and PHQ-9 scales, respectively. Substances use and several sociodemographic parameters were also examined. Results: In our sample 16.4% were NEETs. In multivariate analyses, NEETs compared to non-NEETs were older, with lower family income, without insurance and more likely to be married and smoke. Furthermore, NEET status was associated with a higher GAD-7 score among older NEETs and long-term NEETs (NEETs unemployed for more than a year). Moreover, being NEET among older participants was associated with severe symptoms of anxiety and moderate/severe symptoms of depression. Limitations: This was a telephone survey and a clinical evaluation of the patients was not performed. Furthermore, the structured interview was not designed to detect the level of substance use or the reasons for being NEET. Conclusions: NEET status is frequent among young Greeks. Older, and long-term NEETs appear to be at higher risk for presenting anxiety/depression symptoms. Whether NEET status is associated with adverse outcomes later in life requires longitudinal studies. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-36780-026&site=ehost-live"
"No relationship between generalised anxiety symptoms and cardiovascular autonomic dysfunction.","Kupats, Einars; Noviks, Ilja; Vrublevska, Jelena; Kenina, Viktorija; Kojalo, Una; Logina, Inara","Neurology, Psychiatry and Brain Research",="09419500",,="20181201","30",,"86","5","2019-26865-014","10.1016/j.npbr.2018.07.001","Elsevier Science","Journal Article","Autonomic Nervous System; Autonomic Nervous System Disorders; Cardiovascular Disorders; Generalized Anxiety Disorder; Heart Rate Variability; Health Complaints; Physiological Arousal; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Purpose: Patients with generalised anxiety symptoms generally complain of autonomic arousal symptoms. The present study examined the relationships between cardiovascular autonomic dysfunction and generalised anxiety symptoms. Methods: Fifty-five participants including patients with generalised anxiety symptoms (n = 32) and healthy volunteers who served as controls (n = 23) were selected for this study. All participants completed the 7-item Generalised Anxiety Disorder Scale (GAD-7) questionnaire and underwent autonomic function tests, including the Ewing test battery and heart rate variability (HRV) test. Results: Autonomic function parameters included low frequency (LF, 0.04–0.15 Hz) power of HRV, high frequency (HF, 0.15–0.4 Hz) power, power spectrum density (PSD), LF/HF ratio, 30:15 ratio, heart rate response to deep breathing, Valsalva ratio, root-mean square differences of successive R-R intervals (RMSSD), standard deviation of the NN interval (SDNN), stress index (SI) and the Alpha 1 index. There were no significant differences in these parameters between the participants with generalised anxiety symptoms and control participants. Conclusions: The result of this study suggests that there is no statistically significant relationship between generalised anxiety symptoms and cardiovascular autonomic dysfunction. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-26865-014&site=ehost-live"
"Outcome comparison of integrated psycho‐oncological care versus unstructured care—Results of a non‐randomised open‐label two‐arm trial.","Taylor, Katherine; Singer, Susanne; May, Melanie; Durdu, Gülsemin; Petermann‐Meyer, Andrea","European Journal of Cancer Care",="09615423",,="20190901","28","5",,,"2019-58584-001","10.1111/ecc.13127","Wiley-Blackwell Publishing Ltd.","Journal Article","Anxiety; Health Knowledge; Integrated Services; Mental Health Services; Oncology; Awareness; Generalized Anxiety Disorder; Health Care Services; Adulthood (18 yrs & older); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"Objective: To compare patients' experiences with a systematic, integrated psychooncological care (IC) model to experiences with 'care as usual' (CAU). Methods: To improve patients' knowledge about psychosocial support options and to facilitate use, an IC model was developed by psycho‐oncologists and a health insurance company and implemented in one German cancer care facility. Using a parallel, non‐randomised design, these patients' experiences were compared to CAU patients. In 2015, both patient groups received questionnaires 6–12 months post‐inpatient treatment. Main outcomes were awareness, use and opinion of psycho‐oncological care (PC) and anxiety level (Generalized Anxiety Disorder Scale (GAD‐7)). Results: 228 patients (IC = 90; CAU = 138) participated (response rate 24%). More IC patients felt adequately informed about PC (63% vs. 46%, ORadj: 2.5 (CI: 1.3–4.8); p = 0.008). More IC patients recalled being offered various support options and had had at least one PC discussion (44% vs. 33%, ORadj of IC patient saying 'yes' instead of 'No, didn't want to' compared to a CAU patient: 0.4 (CI: 0.2–0.8); p = 0.01). More IC patients rated their care as good/excellent (49% vs. 38%, ORadj: 1.8 (CI: 0.7–4.1; p = 0.2)). Anxiety levels were similar (GAD‐7 score> = 10: IC 34% vs. CAU 28%; p = 0.4). Conclusion: Structured psycho‐oncological care had some positive results on the outcomes, but anxiety levels did not differ. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-58584-001&site=ehost-live"
